,voter,vote,weight
265,osmo1p20utdzqm7zpzj83sk2uf8v3jwz2jw2r44w0mn,YES,1394949
266,osmo1p2k2w0enr4vsjchfexr8079y6sjy5u9p2gezcw,ABSTAIN,566530000
267,osmo1p2camm5dvgh7vs7g8d969ma8sdpfgcpgkgq8sk,VETO,198761741
268,osmo1ptt8dz47jmwnypnmy5num8kh7rvuf2w359lffa,NO,148961691
269,osmo1pt4wl4y2pyqpcd4zh7u4j3v6gm262knfy95mle,YES,219377437
270,osmo1pt4e2vu93lmg65qd8v7gmmds5gzr25dmmzjmcl,YES,398199870
271,osmo1pth8fsxpt7lexdz96k3xsfvxagmv06vmxx4tsu,NO,50000000
272,osmo1pvz6pwchap2qkknf6a66aqzjmr4jd4tfj3e74z,NO,28000000
273,osmo1pv8shjh4247g5jdnyvsx2l02k4aung55pfc2sa,VETO,3906921118
274,osmo1pvgj0ptv36snp5lc4937f7028plrmzdhzfzes8,YES,0
275,osmo1pvwussxtdv2m2cutv8atgpy40e7g947u8x444x,YES,4123000000
276,osmo1pv03yz7y7atd72xtzzpyfqy8w3eu5rwv5j5kka,ABSTAIN,677220000
277,osmo1pvjdpz5t23hy7wfv30cj03hhs3rufkpfew85sp,YES,10000000
278,osmo1pv44049a79s903dk4agkt3jrr5d2j2q0dqzuz5,NO,2075000000
279,osmo1pvcn0jjv2mugdevlue9vj2ks7ryjgtccera0jq,YES,450000000
280,osmo1pvcm3nx4qtuljps2uu6c7teaqmzr9jvl96z579,YES,6175442815
281,osmo1pdx7rrqyvjleswp4c8zkqzm5w3t95znc5c57na,ABSTAIN,286400000
282,osmo1pdgrnyggvpr0egqfur0vsdcwwzl3zfs8nj6fnm,NO,50000000
283,osmo1pd32ye0x6dsuj4tr0mwy9krs37euszpxvghsc5,VETO,22321647
284,osmo1pw9dsh3385hxr0tjulqq5y5334mzcryfrs30xq,YES,37631980
285,osmo1pw2yzzzc2zww4u75dj8huuezejt6f0y9zncuy4,YES,522678853
286,osmo1pwvhq9pgnpa447vn8jqfuvnesdmqljvzrgap35,YES,0
287,osmo1pwjc9nses6qzt73kvvm2uelzvfmz7glez8ulw6,YES,150000000
288,osmo1pwndz63p9clj6zeckvu7wnkp48uyzv5kptx98q,YES,2000000
289,osmo1pw4t6w9f73hf8ssmrsz35f8q8czjdl78wjtwss,VETO,0
290,osmo1pwu9xlwdlr79n4mlty69dakvtgzu3dxr0lv0zv,YES,54304000
291,osmo1p0qg24axevn4tsspcyqwzgcgefznnk4d2nezcq,YES,2967267
292,osmo1p0ph8s5pmdy4xdu7am7npnlksl7hqguaw3z0de,NO,26804202
293,osmo1p0xc8vz6m72velt8xera2quz3xs9ee6c3hullp,NO,565000000
294,osmo1p0xcahay0gvmmc7gvhpsjm99lhzte3t3ysqce7,YES,0
295,osmo1p0thdn96qx07veretqvae7ugnxsgfcx4mk968f,YES,33326000000
296,osmo1p0sgj9l8xyaydpah7wml0m68utzsmx0u6utqfq,YES,213424932
297,osmo1p055ral8txrrlm69akw9ngm3sv0h9pzlydhlx2,YES,10000000
298,osmo1p0c0d7faqjlhw5y07kxwppatahu22wdfzqargm,YES,432000000
299,osmo1p06guptkql3eannp5cl5qeqh27xwhzjqzzf7m3,YES,4000460000
300,osmo1psy4g70wa45huzhfja4u8rxwmqsl6tuxx8e0k2,YES,130506451
